name,gc_result,giro_w,stage_result,stage_wins,top10,giro_total,year
Soler Marc,21,-,7,-,-,225,2019
Edet Nicolas,43,-,6,-,-,223,2019
Verona Carlos,19,-,3,-,-,216,2019
Bennett George,24,-,7,-,-,207,2019
Keukeleire Jens,59,-,3,-,-,202,2019
Terpstra Niki,94,-,5,-,-,192,2019
Richeze Maximiliano,135,-,4,-,-,192,2019
Clarke Simon,61,-,9,-,-,186,2019
Oliveira Nelson,47,-,3,-,-,183,2019
Janse Van Rensburg Reinardt,96,-,8,-,-,183,2019
Vachon Florian,88,-,10,-,-,174,2019
Mühlberger Gregor,25,-,3,-,-,174,2019
Durbridge Luke,100,-,7,-,-,172,2019
Delaplace Anthony,78,-,10,-,-,168,2019
Turgis Anthony,73,-,9,-,-,168,2019
Nizzolo Giacomo,-,-,3,-,-,164,2019
Molard Rudy,33,-,14,-,-,162,2019
Van Baarle Dylan,46,-,10,-,-,160,2019
Amador Andrey,50,-,11,-,-,159,2019
Haller Marco,126,-,12,-,-,158,2019
De Marchi Alessandro,52,-,5,-,-,158,2019
Dennis Rohan,101,-,1,1,1,157,2019
Bonifazio Niccolò,137,-,3,-,-,155,2019
Woods Michael,32,-,3,-,-,152,2019
Lampaert Yves,80,-,3,-,-,148,2019
Rowe Luke,128,-,7,-,-,147,2019
Gesbert Élie,61,-,7,-,-,144,2019
Bettiol Alberto,62,-,5,-,-,135,2019
Roux Anthony,63,-,12,-,-,133,2019
García Cortina Iván,94,-,4,-,-,121,2019
Bernard Julien,30,-,10,-,-,118,2019
Houle Hugo,47,-,7,-,-,116,2019
Ciccone Giulio,31,-,2,-,-,115,2019
Schachmann Maximilian,57,-,3,-,-,115,2019
De Buyst Jasper,118,-,10,-,-,105,2019
Laengen Vegard Stake,82,-,14,-,-,102,2019
Langeveld Sebastian,128,-,21,-,-,100,2019
Juul-jensen Christopher,99,-,30,-,-,100,2019
Debusschere Jens,145,-,5,-,-,90,2019
De Plus Laurens,23,-,13,-,-,89,2019
Perez Anthony,85,-,13,-,-,79,2019
Grellier Fabien,117,-,14,-,-,77,2019
Jansen Amund Grøndahl,128,-,15,-,-,76,2019
Kluge Roger,139,-,18,-,-,75,2019
Ledanois Kévin,96,-,20,-,-,75,2019
Cosnefroy Benoît,107,-,20,-,-,75,2019
Tratnik Jan,93,-,3,-,-,75,2019
Haig Jack,38,-,4,-,-,75,2019
Offredo Yoann,91,-,22,-,-,75,2019
Zabel Rick,134,-,11,-,-,68,2019
Hepburn Michael,117,-,10,-,-,60,2019
Pöstlberger Lukas,116,-,12,-,-,60,2019
Felline Fabio,65,-,5,-,-,57,2019
Wellens Tim,94,-,13,-,-,54,2019
Gougeard Alexis,115,-,29,-,-,50,2019
Backaert Frederik,120,-,23,-,-,50,2019
Scully Tom,129,-,33,-,-,50,2019
Haga Chad,72,-,17,-,-,50,2019
Berhane Natnael,86,-,26,-,-,50,2019
King Ben,53,-,17,-,-,50,2019
Rosskopf Joey,73,-,10,-,-,35,2019
Würtz Schmidt Mads,117,-,13,-,-,31,2019
Dowsett Alex,151,-,13,-,-,29,2019
Rossetto Stéphane,100,-,34,-,-,25,2019
Bevin Patrick,114,-,24,-,-,25,2019
De Gendt Aimé,136,-,64,-,-,25,2019
Van Melsen Kévin,138,-,74,-,-,25,2019
Bystrøm Sven Erik,110,-,19,-,-,25,2019
Wiśniowski Łukasz,127,-,42,-,-,25,2019
Ourselin Paul,95,-,43,-,-,25,2019
Gonçalves José,128,-,76,-,-,25,2019
